loss,acc,precision,recall,f1_score,auc,tn,tp,fn,fp,val_loss,val_acc,val_precision,val_recall,val_f1_score,val_auc,val_tn,val_tp,val_fn,val_fp
0.36340945959091187,0.8125629425048828,0.5938978791236877,0.867688775062561,0.6945829391479492,0.9124611020088196,51410.0,19582.0,2986.0,13390.0,0.41258692741394043,0.797965943813324,0.5754786729812622,0.8313829898834229,0.6694333553314209,0.8960141539573669,4243.0,1563.0,317.0,1153.0
0.36085015535354614,0.8155961036682129,0.5983549356460571,0.8703030943870544,0.6986451148986816,0.9138602614402771,51616.0,19641.0,2927.0,13184.0,0.42825791239738464,0.7796866297721863,0.546617329120636,0.8638297915458679,0.6596541404724121,0.8967369794845581,4049.0,1624.0,256.0,1347.0
0.3543304204940796,0.8201172351837158,0.6052146553993225,0.873227596282959,0.7041629552841187,0.9172599911689758,51945.0,19707.0,2861.0,12855.0,0.3881307542324066,0.8125343322753906,0.6048780679702759,0.7914893627166748,0.6713590621948242,0.8960840702056885,4424.0,1488.0,392.0,972.0
0.35154062509536743,0.8231388926506042,0.6099709272384644,0.8744682669639587,0.7086644172668457,0.9188264608383179,52181.0,19735.0,2833.0,12619.0,0.3813001215457916,0.8148708343505859,0.6096256971359253,0.7882978916168213,0.674674391746521,0.8952020406723022,4447.0,1482.0,398.0,949.0
0.3461914658546448,0.8279919624328613,0.6181818246841431,0.8738036155700684,0.7130746841430664,0.9215802550315857,52620.0,19720.0,2848.0,12180.0,0.3885360062122345,0.808548629283905,0.6006614565849304,0.7728723287582397,0.6670738458633423,0.8918974995613098,4430.0,1453.0,427.0,966.0
0.3409835696220398,0.8297317028045654,0.6203680634498596,0.8783233165740967,0.7154831886291504,0.9241319298744202,52670.0,19822.0,2746.0,12130.0,0.4212828576564789,0.7877954840660095,0.5587823390960693,0.8494681119918823,0.6613401174545288,0.8940398693084717,4135.0,1597.0,283.0,1261.0
0.3356568217277527,0.8335431814193726,0.6266212463378906,0.8798741698265076,0.7207574844360352,0.9266304969787598,52968.0,19857.0,2711.0,11832.0,0.42955929040908813,0.7961792349815369,0.5733826160430908,0.824999988079071,0.6634488701820374,0.8907263875007629,4242.0,1551.0,329.0,1154.0
0.33187294006347656,0.8376178741455078,0.6337066292762756,0.8800513744354248,0.7273896336555481,0.9287052750587463,53320.0,19861.0,2707.0,11480.0,0.4048430621623993,0.802363932132721,0.5835855007171631,0.8207446932792664,0.6708338260650635,0.8949477672576904,4295.0,1543.0,337.0,1101.0
0.32616907358169556,0.8425052762031555,0.6422940492630005,0.8808490037918091,0.7332262992858887,0.9312577247619629,53729.0,19879.0,2689.0,11071.0,0.4062175154685974,0.803875744342804,0.5873505473136902,0.8101063966751099,0.6679397225379944,0.8949592709541321,4326.0,1523.0,357.0,1070.0
0.3209169805049896,0.8459619283676147,0.6478896141052246,0.8842166066169739,0.7375414371490479,0.934045672416687,53955.0,19955.0,2613.0,10845.0,0.39458295702934265,0.8104727864265442,0.6014580726623535,0.789893627166748,0.6702239513397217,0.8944894671440125,4412.0,1485.0,395.0,984.0
