loss,acc,precision,recall,f1_score,auc,tn,tp,fn,fp,val_loss,val_acc,val_precision,val_recall,val_f1_score,val_auc,val_tn,val_tp,val_fn,val_fp
0.3184855878353119,0.8487775921821594,0.655126690864563,0.8753988146781921,0.739483118057251,0.9342445731163025,54400.0,19756.0,2812.0,10400.0,0.4109906554222107,0.799477756023407,0.5773044228553772,0.8361701965332031,0.6717854738235474,0.8962183594703674,4245.0,1572.0,308.0,1151.0
0.3146490752696991,0.8535619378089905,0.664324164390564,0.8754431009292603,0.7455403208732605,0.9359691143035889,54817.0,19757.0,2811.0,9983.0,0.4217837452888489,0.7910940051078796,0.5631579160690308,0.853723406791687,0.6655147671699524,0.8978278636932373,4151.0,1605.0,275.0,1245.0
0.3080695569515228,0.8579685688018799,0.6720057129859924,0.8793424367904663,0.7517322897911072,0.9389822483062744,55114.0,19845.0,2723.0,9686.0,0.39364752173423767,0.8130841255187988,0.6043338775634766,0.8010638356208801,0.6769124269485474,0.8973788619041443,4410.0,1506.0,374.0,986.0
0.3017462193965912,0.8607614040374756,0.6767714619636536,0.88239985704422,0.7564021944999695,0.9419984817504883,55289.0,19914.0,2654.0,9511.0,0.39077889919281006,0.817894458770752,0.6154806613922119,0.7867021560668945,0.6761611104011536,0.8959839940071106,4472.0,1479.0,401.0,924.0
0.29526886343955994,0.8662210702896118,0.6885484457015991,0.8802729249000549,0.7629732489585876,0.9444459080696106,55814.0,19866.0,2702.0,8986.0,0.4266597628593445,0.7996151447296143,0.5782641172409058,0.8292553424835205,0.6682369112968445,0.8951736688613892,4259.0,1559.0,321.0,1137.0
0.28867465257644653,0.8695060014724731,0.6939725279808044,0.8851470947265625,0.7679237127304077,0.9469221830368042,55991.0,19976.0,2592.0,8809.0,0.4080860912799835,0.8063496351242065,0.591314435005188,0.811170220375061,0.6707597970962524,0.8958941102027893,4342.0,1525.0,355.0,1054.0
0.2826943099498749,0.8738439679145813,0.7024051547050476,0.8877171277999878,0.7761890292167664,0.9493439793586731,56312.0,20034.0,2534.0,8488.0,0.3640459477901459,0.8275151252746582,0.6583882570266724,0.6909574270248413,0.6604296565055847,0.893889844417572,4722.0,1299.0,581.0,674.0
0.2754475474357605,0.8794524073600769,0.7145301699638367,0.888160228729248,0.7833769917488098,0.9521914124488831,56792.0,20044.0,2524.0,8008.0,0.38247376680374146,0.8183067440986633,0.6255625486373901,0.7393617033958435,0.6657346487045288,0.892349123954773,4564.0,1390.0,490.0,832.0
0.266568124294281,0.8839964270591736,0.7229015231132507,0.8933445811271667,0.789591908454895,0.9553260207176208,57072.0,20161.0,2407.0,7728.0,0.4049261808395386,0.8117097020149231,0.6065163016319275,0.7723404169082642,0.6628986597061157,0.8931072354316711,4454.0,1452.0,428.0,942.0
0.2600706219673157,0.8883343935012817,0.7324551939964294,0.8944079875946045,0.7960812449455261,0.9574723839759827,57427.0,20185.0,2383.0,7373.0,0.3979285955429077,0.8233919739723206,0.6331096291542053,0.7526595592498779,0.6729892492294312,0.8957064151763916,4576.0,1415.0,465.0,820.0
0.25634342432022095,0.8894789814949036,0.7344396710395813,0.8961804509162903,0.798427164554596,0.9588085412979126,57487.0,20225.0,2343.0,7313.0,0.386987566947937,0.8173446655273438,0.6340632438659668,0.6930851340293884,0.6387794017791748,0.889924943447113,4644.0,1303.0,577.0,752.0
0.24615086615085602,0.8949958682060242,0.7462132573127747,0.8993707895278931,0.8071637749671936,0.9623583555221558,57897.0,20297.0,2271.0,6903.0,0.45788252353668213,0.8066245317459106,0.5905089974403381,0.8207446932792664,0.672666609287262,0.8950756788253784,4326.0,1543.0,337.0,1070.0
0.23886950314044952,0.8989790081977844,0.7554274797439575,0.9004342555999756,0.813133716583252,0.9644383192062378,58221.0,20321.0,2247.0,6579.0,0.3941306173801422,0.8247663378715515,0.6479217410087585,0.7047872543334961,0.6570255756378174,0.8928941488265991,4676.0,1325.0,555.0,720.0
0.22964167594909668,0.9046905040740967,0.7668753266334534,0.9066377282142639,0.8229120373725891,0.9670926332473755,58580.0,20461.0,2107.0,6220.0,0.3947673738002777,0.8115723133087158,0.6180974245071411,0.7085106372833252,0.6473951935768127,0.8891007900238037,4573.0,1332.0,548.0,823.0
0.22383011877536774,0.9077694416046143,0.7748314142227173,0.9063275456428528,0.8267769813537598,0.9689827561378479,58856.0,20454.0,2114.0,5944.0,0.40702196955680847,0.8213304281234741,0.6417399644851685,0.6984042525291443,0.6569153070449829,0.8894742131233215,4663.0,1313.0,567.0,733.0
0.21631228923797607,0.9104363322257996,0.7799126505851746,0.9100939631462097,0.8324441909790039,0.9710118770599365,59004.0,20539.0,2029.0,5796.0,0.3939776122570038,0.8213304281234741,0.6540914177894592,0.6547872424125671,0.6376510262489319,0.8873574733734131,4745.0,1231.0,649.0,651.0
0.2099861353635788,0.9150146245956421,0.7919864058494568,0.9100053310394287,0.8390671610832214,0.9726514220237732,59406.0,20537.0,2031.0,5394.0,0.4754154682159424,0.8114348649978638,0.609956681728363,0.7494680881500244,0.6600947380065918,0.8894558548927307,4495.0,1409.0,471.0,901.0
0.2018769085407257,0.9192953705787659,0.7999845147132874,0.9167848229408264,0.8464566469192505,0.9749262928962708,59627.0,20690.0,1878.0,5173.0,0.46786609292030334,0.8118471503257751,0.6063254475593567,0.7749999761581421,0.6658995747566223,0.8930160999298096,4450.0,1457.0,423.0,946.0
0.19503511488437653,0.9226604700088501,0.8100804090499878,0.9151453375816345,0.8521361351013184,0.9764484763145447,59958.0,20653.0,1915.0,4842.0,0.4516087770462036,0.8189939260482788,0.6334756016731262,0.7106382846832275,0.6623328328132629,0.8881955742835999,4623.0,1336.0,544.0,773.0
0.18773385882377625,0.927112877368927,0.8193250894546509,0.9209057092666626,0.8602352738380432,0.978209912776947,60217.0,20783.0,1785.0,4583.0,0.508703887462616,0.8064870834350586,0.5977630615234375,0.7675532102584839,0.6611966490745544,0.888663113117218,4425.0,1443.0,437.0,971.0
0.18130150437355042,0.9301231503486633,0.8273612856864929,0.921836256980896,0.8654883503913879,0.9795821905136108,60459.0,20804.0,1764.0,4341.0,0.5692805051803589,0.7946674227714539,0.5714285969734192,0.8212766051292419,0.6623936891555786,0.8898468017578125,4238.0,1544.0,336.0,1158.0
