loss,acc,precision,recall,f1_score,auc,tn,tp,fn,fp,val_loss,val_acc,val_precision,val_recall,val_f1_score,val_auc,val_tn,val_tp,val_fn,val_fp
0.5042450428009033,0.6912828683853149,0.4463711678981781,0.8121233582496643,0.5663402080535889,0.8139825463294983,42068.0,18328.0,4240.0,22732.0,0.4379540979862213,0.7553600668907166,0.5170881748199463,0.8047872185707092,0.6158992648124695,0.8613219261169434,3983.0,1513.0,367.0,1413.0
0.4464239180088043,0.7254143357276917,0.4822489619255066,0.8559021353721619,0.6071581840515137,0.8582191467285156,44062.0,19316.0,3252.0,20738.0,0.4081253707408905,0.7783122658729553,0.5507026314735413,0.771276593208313,0.6325622200965881,0.8663008213043213,4213.0,1450.0,430.0,1183.0
0.4308588206768036,0.7440710663795471,0.5026901364326477,0.8611308336257935,0.6248888969421387,0.8704408407211304,45574.0,19434.0,3134.0,19226.0,0.5715669989585876,0.6625893115997314,0.425071656703949,0.867553174495697,0.5603418946266174,0.8389410376548767,3190.0,1631.0,249.0,2206.0
0.41969242691993713,0.7541548609733582,0.5142393708229065,0.8713222146034241,0.6364930868148804,0.8777377605438232,46225.0,19664.0,2904.0,18575.0,0.4029165804386139,0.7693787813186646,0.532899022102356,0.8702127933502197,0.6497268080711365,0.8871431946754456,3962.0,1636.0,244.0,1434.0
0.4079419672489166,0.7660813927650452,0.528826117515564,0.8661379218101501,0.6480219960212708,0.8851916790008545,47384.0,19547.0,3021.0,17416.0,0.37029191851615906,0.804013192653656,0.5933387875556946,0.7675532102584839,0.661888837814331,0.8891675472259521,4407.0,1443.0,437.0,989.0
0.3991008698940277,0.772800087928772,0.5370097756385803,0.8737593293190002,0.6541561484336853,0.8903872966766357,47799.0,19719.0,2849.0,17001.0,0.4033895432949066,0.7751511931419373,0.5408026576042175,0.8601064085960388,0.6573507785797119,0.887275218963623,4023.0,1617.0,263.0,1373.0
0.3906242251396179,0.7792784571647644,0.545339047908783,0.8751329183578491,0.6623520255088806,0.8954951167106628,48334.0,19750.0,2818.0,16466.0,0.40624672174453735,0.7563221454620361,0.5164868831634521,0.8914893865585327,0.6443700790405273,0.8919404149055481,3827.0,1676.0,204.0,1569.0
0.38054826855659485,0.7865007519721985,0.5547628998756409,0.8786777853965759,0.6697322726249695,0.901375949382782,48885.0,19830.0,2738.0,15915.0,0.36477988958358765,0.8049752712249756,0.5926819443702698,0.7840425372123718,0.6682648658752441,0.8928340673446655,4383.0,1474.0,406.0,1013.0
0.37089860439300537,0.7947418093681335,0.5657913684844971,0.8831088542938232,0.6791435480117798,0.906890869140625,49505.0,19930.0,2638.0,15295.0,0.3985060751438141,0.7597581148147583,0.5202952027320862,0.8999999761581421,0.6502640247344971,0.8947284817695618,3836.0,1692.0,188.0,1560.0
0.3603160083293915,0.8016436100006104,0.5749227404594421,0.8905087113380432,0.6883727312088013,0.9126111268997192,49941.0,20097.0,2471.0,14859.0,0.42361965775489807,0.7369433641433716,0.4951205551624298,0.917553186416626,0.6349341869354248,0.8893598318099976,3637.0,1725.0,155.0,1759.0
0.3488784432411194,0.8096557259559631,0.5860978960990906,0.895560085773468,0.699647068977356,0.918648362159729,50527.0,20211.0,2357.0,14273.0,0.35870733857154846,0.8112974166870117,0.6033428311347961,0.7872340679168701,0.6703857183456421,0.8957465887069702,4423.0,1480.0,400.0,973.0
0.3387293219566345,0.8184689879417419,0.59909588098526,0.8984845876693726,0.7087861895561218,0.923575758934021,51231.0,20277.0,2291.0,13569.0,0.385968953371048,0.7843595147132874,0.5543136596679688,0.8441489338874817,0.6629018783569336,0.8943426012992859,4120.0,1587.0,293.0,1276.0
0.3262319564819336,0.828644335269928,0.6146509051322937,0.9023395776748657,0.7206087112426758,0.9293956160545349,52033.0,20364.0,2204.0,12767.0,0.3599306344985962,0.822567343711853,0.6476190686225891,0.6872340440750122,0.6544044017791748,0.8885496854782104,4693.0,1292.0,588.0,703.0
0.3146733343601227,0.8360269069671631,0.6262019872665405,0.9060617089271545,0.731115460395813,0.9344905614852905,52594.0,20448.0,2120.0,12206.0,0.39173153042793274,0.7890324592590332,0.5633957982063293,0.8154255151748657,0.6544018983840942,0.8874304890632629,4208.0,1533.0,347.0,1188.0
0.3020399212837219,0.8449203372001648,0.6409703493118286,0.908543050289154,0.7415555715560913,0.939995288848877,53315.0,20504.0,2064.0,11485.0,0.3741883337497711,0.7968664169311523,0.5825123190879822,0.7547872066497803,0.6434333324432373,0.8820998668670654,4379.0,1419.0,461.0,1017.0
0.28768038749694824,0.8540197610855103,0.6564432978630066,0.9123537540435791,0.7540788650512695,0.9458470940589905,54024.0,20590.0,1978.0,10776.0,0.3850944936275482,0.8130841255187988,0.6221804618835449,0.7042553424835205,0.6455938220024109,0.881406307220459,4592.0,1324.0,556.0,804.0
